dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,precision,recall,storage,preparationTime,predictionTime
achilles,1106,21362,13,2,1,0.953846154,255910766,628.3077126,0.027670154
alluxio-tachyon,1106,21362,1,547,1,0.25,255910766,630.7992995,0.027270623
ambari,1106,21362,1,2,1,0.35,255910766,632.7925145,0.029216746
hadoop,1106,21362,61,597,0.963435118,0.497540984,255910766,630.8570122,0.027262397
jackrabbit-oak,1106,21362,2,1843,0.041666667,0.025,255910766,629.2558392,0.02726249
jimfs,1106,21362,1,90,0.6,0.55,255910766,628.0034721,0.027318219
ninja,1106,21362,4,187,0.666666667,0.2,255910766,627.3766303,0.027286862
okhttp,1106,21362,13,296,0.953333333,0.496153846,255910766,627.4602136,0.027276288
oozie,1106,21362,171,63,1,0.868128655,255910766,628.5196577,0.027279931
oryx,1106,21362,3,74,1,0.25,255910766,628.6936079,0.027340494
spring-boot,1106,21362,3,1361,0.923076923,0.233333333,255910766,628.6196546,0.027259424
togglz,1106,21362,2,77,0,0,255910766,633.6775183,0.027335779
wro4j,1106,21362,2,201,0,0,255910766,634.3170272,0.02728791
random_forest,-,-,-,-,0.762348226,0.389500248,-,-,-
